SerieKey,Time,Value
12,2021,77.29306421
13,1993,-2.50E-02
13,1994,-1.28868854
13,1995,-2.136950063
13,1996,-2.897860912
13,1997,-1.890018143
13,1998,-1.88235756
13,1999,-3.813060211
13,2000,-3.326148333
13,2001,-5.424131983
13,2002,-2.122792014
13,2003,1.173116823
13,2004,3.549164057
13,2005,2.187122301
13,2006,1.708957306
13,2007,-5.59E-02
13,2008,0.241843332
13,2009,-2.433660886
13,2010,-1.271994333
13,2011,-2.551582536
13,2012,-2.80192775
13,2013,-3.001090591
13,2014,-3.990026371
13,2015,-6.630274031
13,2016,-7.122607128
13,2017,-7.382811441
13,2018,-6.578866068
13,2019,-5.449601679
13,2020,-4.307304177
13,2021,-4.148627667
14,1990,-0.232324117
14,1991,-2.791915248
14,1992,-4.749266875
14,1993,-4.72590722
14,1994,-3.799999319
14,1995,-2.60164848
14,1996,-1.454349296
14,1997,-0.493343768
14,1998,-0.246321263
14,1999,0.666656559
14,2000,1.255189494
14,2001,-0.030384522
14,2002,0.193233927
14,2003,1.053466107
14,2004,1.327131901
14,2005,1.712303468
14,2006,1.776621353
14,2007,1.47702586
14,2008,-1.100872197
14,2009,-4.555526269
14,2010,-5.103565053
14,2011,-4.46770945
14,2012,-3.459148324
14,2013,-2.800757888
14,2014,-2.910869011
14,2015,-2.847402077
14,2016,-2.89132161
14,2017,-2.52033798
14,2018,-1.708042926
14,2019,-0.829480477
14,2020,-0.169317559
14,2021,-8.25E-03
15,1990,-5.566240949
15,1991,-6.005301208
15,1992,-5.293735116
15,1993,-8.004925441
15,1994,-8.4733812
15,1995,-9.708680386
15,1996,-7.420484592
15,1997,-5.385631317
15,1998,-5.649401189
15,1999,-5.35165584
15,2000,-5.010144936
15,2001,-2.901480605
15,2002,-3.934911015
15,2003,-3.900396606
15,2004,-3.261663104
15,2005,-5.000549664
15,2006,-4.866057604
15,2007,-3.882361115
15,2008,-3.851463025
15,2009,-5.317377437
15,2010,-4.447791403
15,2011,-2.557369338
15,2012,-2.169640185
15,2013,-1.31178787
15,2014,-2.702679242
15,2015,-1.15176183
15,2016,-1.583939412
15,2017,-1.470459249
15,2018,-1.139388354
15,2019,-0.993897425
15,2020,-0.849505877
15,2021,-0.709049727
16,1990,30.33216959
16,1991,30.31175273
16,1992,29.3397735
16,1993,29.40667761
16,1994,30.00673835
16,1995,31.06397093
16,1996,32.05385075
16,1997,32.34591305
16,1998,34.4796821
16,1999,36.93693928
16,2000,36.60369423
16,2001,35.74168481
16,2002,35.23027096
16,2003,36.05079727
16,2004,36.26934957
16,2005,36.40031297
16,2006,36.41524064
16,2007,35.84261209
16,2008,33.98373648
16,2009,33.37224774
16,2010,32.00445402
16,2011,32.08052627
16,2012,33.32755408
16,2013,33.98855321
16,2014,34.20961682
16,2015,34.63689879
16,2016,34.74823621
16,2017,34.91700422
16,2018,35.16740573
16,2019,35.48676102
16,2020,35.84859472
16,2021,35.97031028
17,1990,43.66500767
17,1991,44.30904297
17,1992,46.50920112
17,1993,49.09106131
17,1994,48.63217684
17,1995,49.3026484
17,1996,50.9081867
17,1997,49.52653814
17,1998,49.14543795
17,1999,49.11174416
17,2000,48.27133321
17,2001,50.39889429
17,2002,49.34884599
17,2003,49.24625453
17,2004,48.65930241
17,2005,48.46814895
17,2006,47.72069837
17,2007,47.80726698
17,2008,48.34877807
17,2009,48.79980166
17,2010,48.30009265
17,2011,48.25783726
17,2012,48.94904934
17,2013,49.50066698
17,2014,49.87007403
17,2015,50.53175719
17,2016,49.74321104
17,2017,49.53583716
17,2018,49.54986091
17,2019,49.53106551
17,2020,49.54231288
17,2021,49.54231288
18,1993,6.66E-02
18,1994,-1.073921659
18,1995,-0.724732171
18,1996,-1.56956908
18,1997,-1.719230057
18,1998,-2.115057929
18,1999,-2.855622638
18,2000,-2.679130479
18,2001,-3.484371663
18,2002,0.223142374
18,2003,2.117662018
18,2004,3.925754915
18,2005,2.078171105
18,2006,1.309072469
18,2007,-1.29479724
18,2008,-0.815335658
18,2009,-0.420786728
18,2010,-1.267938392
18,2011,-3.629140915
